2025-12-24 00:12:49 {"tradeResult":"1","mchId":"202111011","mchOrderNo":"202512240007269413","amount":"500.00","oriAmount":"500.00","tradeAmount":"500.00","orderDate":"2025-12-24 00:12:49","orderNo":"TEST_84600","signType":"MD5","sign":"dd168987da7abc55940964482f11a84d"}
2025-12-24 00:14:11 {"tradeResult":"1","mchId":"202111011","mchOrderNo":"202512240005285127","amount":"500.00","oriAmount":"500.00","tradeAmount":"500.00","orderDate":"2025-12-24 00:14:10","orderNo":"TEST_36675","signType":"MD5","sign":"8b4dbe1b984124410a4552ea986fc9ad"}
2025-12-24 00:20:56 {"tradeResult":"1","mchId":"202111011","mchOrderNo":"202512240019393137","amount":"101.00","oriAmount":"101.00","tradeAmount":"101.00","orderDate":"2025-12-24 00:20:56","orderNo":"TEST_38947","signType":"MD5","sign":"9034df7d176d7903237f2976d6c3e9ce"}
2025-12-24 00:25:35 {"tradeResult":"1","oriAmount":"100.00","amount":"100.00","mchId":"202111011","orderNo":"385759608","mchOrderNo":"202512240024224124","sign":"f52e7b3ede0957a8be979b1af78b4871","signType":"MD5","orderDate":"2025-12-24 00:24:22"}
2025-12-24 00:25:51 {"tradeResult":"1","oriAmount":"100.00","amount":"100.00","mchId":"202111011","orderNo":"385759608","mchOrderNo":"202512240024224124","sign":"f52e7b3ede0957a8be979b1af78b4871","signType":"MD5","orderDate":"2025-12-24 00:24:22"}
2025-12-24 00:29:01 {"tradeResult":"1","oriAmount":"100.00","amount":"100.00","mchId":"202111011","orderNo":"385759608","mchOrderNo":"202512240024224124","sign":"f52e7b3ede0957a8be979b1af78b4871","signType":"MD5","orderDate":"2025-12-24 00:24:22"}
2025-12-24 00:32:51 {"tradeResult":"1","oriAmount":"100.00","amount":"100.00","mchId":"202111011","orderNo":"385759608","mchOrderNo":"202512240024224124","sign":"f52e7b3ede0957a8be979b1af78b4871","signType":"MD5","orderDate":"2025-12-24 00:24:22"}
2025-12-24 00:33:46 {"tradeResult":"1","mchId":"202111011","mchOrderNo":"202512240019393137","amount":"101.00","oriAmount":"101.00","tradeAmount":"101.00","orderDate":"2025-12-24 00:33:46","orderNo":"TEST_94159","signType":"MD5","sign":"2911fa6ffd62ef9da90a3be76a579fde"}
2025-12-24 00:36:01 {"tradeResult":"1","oriAmount":"100.00","amount":"100.00","mchId":"202111011","orderNo":"385759608","mchOrderNo":"202512240024224124","sign":"f52e7b3ede0957a8be979b1af78b4871","signType":"MD5","orderDate":"2025-12-24 00:24:22"}
2025-12-24 00:37:14 {"tradeResult":"1","mchId":"202111011","mchOrderNo":"202512240024224124","amount":"100.00","oriAmount":"100.00","tradeAmount":"100.00","orderDate":"2025-12-24 00:37:13","orderNo":"TEST_94616","signType":"MD5","sign":"bbada5df27bbb80d273512c374d0d314"}
2025-12-24 00:39:18 {"tradeResult":"1","mchId":"202111011","mchOrderNo":"202512240024224124","amount":"100.00","oriAmount":"100.00","tradeAmount":"100.00","orderDate":"2025-12-24 00:39:18","orderNo":"TEST_86693","signType":"MD5","sign":"14308f418f437d6e097846af8176832b"}
2025-12-24 00:39:51 {"tradeResult":"1","oriAmount":"100.00","amount":"100.00","mchId":"202111011","orderNo":"385759608","mchOrderNo":"202512240024224124","sign":"f52e7b3ede0957a8be979b1af78b4871","signType":"MD5","orderDate":"2025-12-24 00:24:22"}
2025-12-24 00:43:01 {"tradeResult":"1","oriAmount":"100.00","amount":"100.00","mchId":"202111011","orderNo":"385759608","mchOrderNo":"202512240024224124","sign":"f52e7b3ede0957a8be979b1af78b4871","signType":"MD5","orderDate":"2025-12-24 00:24:22"}
2025-12-24 00:46:51 {"tradeResult":"1","oriAmount":"100.00","amount":"100.00","mchId":"202111011","orderNo":"385759608","mchOrderNo":"202512240024224124","sign":"f52e7b3ede0957a8be979b1af78b4871","signType":"MD5","orderDate":"2025-12-24 00:24:22"}
